id,pergunta,intencao_esperada,grupo
084,Tem um sangramento intenso,emergencia,emergencia
085,Meu cachorro foi atropelado,emergencia,emergencia
086,Acho que ele comeu veneno,emergencia,emergencia
087,O Balu está inconsciente,emergencia,emergencia
088,Ele está com muita dificuldade para respirar,emergencia,emergencia
089,Como faço primeiros socorros?,emergencia,emergencia
090,É uma emergência,emergencia,emergencia
091,Avise a clínica do Balu,confirmar_emergencia,confirmacao
092,Sim pode alertar a clínica,confirmar_emergencia,confirmacao
093,Confirmo o alerta,confirmar_emergencia,confirmacao
094,Pode avisar que estamos indo,confirmar_emergencia,confirmacao
095,Não envie o alerta,cancelar_emergencia,confirmacao
096,Não quero avisar a clínica,cancelar_emergencia,confirmacao
097,Cancele a emergência,cancelar_emergencia,confirmacao
098,Não é necessário alertar,cancelar_emergencia,confirmacao
099,sim,confirmar_emergencia,confirmacao
100,não,cancelar_emergencia,confirmacao
